id	uid	author	attribution	signature	signature_index	title	part	translator	dedication	type	year	publication	censorship	censor	volume	number	section_content	section_form	first_page	last_page	length	filename_txt	comments
3269	4779	"Добролюбов Н. А."	"установлено"	"Лайбов"	"Лайбова"	"Собеседник любителей российского слова. Издание кн. Дашковой и Екатерины II. 1783–1784"	"2"	"нет"	"нет"	"проза"	1856	"11.09.1856"	"31.08.1856"	"Бекетов В. Н."	"LIX"	"9"	"Науки и художества"	"не указано"	23	66	44	"нет"	""
3270	4704	"Чернышевский Н. Г."	"установлено"	"нет"	"нет"	"Очерки гоголевского периода русской литературы. (Сочинения Николая Васильевича Гоголя. Шесть томов. 1856. Похождения Чичикова, или Мертвые души. Поэма Николая Васильевича Гоголя. Том 1. Издание третье. М. 1855. Сочинения Николая Васильевича Гоголя, найденные после его смерти. Похождения Чичикова, или Мертвые души. Том второй. (Пять глав). М. 1855)"	"6"	"нет"	"нет"	"проза"	1856	"11.09.1856"	"31.08.1856"	"Бекетов В. Н."	"LIX"	"9"	"Критика"	"Критика"	1	32	32	"нет"	""
3271	2762	"Чернышевский Н. Г."	"установлено"	"нет"	"нет"	"Стихотворения Н. Огарева. М. 1856"	"нет"	"нет"	"нет"	"проза"	1856	"11.09.1856"	"31.08.1856"	"Бекетов В. Н."	"LIX"	"9"	"Библиография"	"Библиография"	1	9	9	"нет"	""
3272	2763	"Чернышевский Н. Г."	"установлено"	"нет"	"нет"	"Областные учреждения России в XVII веке. Сочинение Б. Чичерина. М. 1856"	"нет"	"нет"	"нет"	"проза"	1856	"11.09.1856"	"31.08.1856"	"Бекетов В. Н."	"LIX"	"9"	"Библиография"	"Библиография"	9	29	21	"нет"	""
3273	2764	"Панаев И. И."	"установлено"	"нет"	"нет"	"Стихотворения Ивана Кроткова, старшего учителя русской словесности в 1-й Казанской гимназии. Казань. 1856"	"нет"	"нет"	"нет"	"проза"	1856	"11.09.1856"	"31.08.1856"	"Бекетов В. Н."	"LIX"	"9"	"Библиография"	"Библиография"	29	33	5	"нет"	""
3274	2765	"Чернышевский Н. Г."	"установлено"	"нет"	"нет"	"Дворяне-благотворителя. Сказание В. Порошина. СПб. 1856"	"нет"	"нет"	"нет"	"проза"	1856	"11.09.1856"	"31.08.1856"	"Бекетов В. Н."	"LIX"	"9"	"Библиография"	"Библиография"	33	36	4	"нет"	""
3275	2766	"Чернышевский Н. Г."	"установлено"	"нет"	"нет"	"Сочинения Ульянова. В двух частях, с 16 картинками. СПб. 1856"	"нет"	"нет"	"нет"	"проза"	1856	"11.09.1856"	"31.08.1856"	"Бекетов В. Н."	"LIX"	"9"	"Библиография"	"Библиография"	37	38	2	"нет"	""
3276	2767	"Чернышевский Н. Г."	"установлено"	"нет"	"нет"	"Русская грамматика В. Классовского. СПб. 1856"	"нет"	"нет"	"нет"	"проза"	1856	"11.09.1856"	"31.08.1856"	"Бекетов В. Н."	"LIX"	"9"	"Библиография"	"Библиография"	38	38	1	"нет"	""
3277	2768	"Чернышевский Н. Г."	"установлено"	"нет"	"нет"	"Словарь сельскохозяйственных растений. Составлен И. Палимпсестовым. Одесса"	"нет"	"нет"	"нет"	"проза"	1856	"11.09.1856"	"31.08.1856"	"Бекетов В. Н."	"LIX"	"9"	"Библиография"	"Библиография"	38	38	1	"нет"	""
3278	2769	"Чернышевский Н. Г."	"установлено"	"нет"	"нет"	"Плен у Шамиля. Правдивая повесть. Е. Вердеревского. СПб. 1856"	"нет"	"нет"	"нет"	"проза"	1856	"11.09.1856"	"31.08.1856"	"Бекетов В. Н."	"LIX"	"9"	"Библиография"	"Библиография"	38	39	2	"нет"	""
3279	2770	"Чернышевский Н. Г."	"установлено"	"нет"	"нет"	"Труды Восточного отделения Императорского Археологического общества. Часть 2-я. СПб. 1856"	"нет"	"нет"	"нет"	"проза"	1856	"11.09.1856"	"31.08.1856"	"Бекетов В. Н."	"LIX"	"9"	"Библиография"	"Библиография"	39	39	1	"нет"	""
3280	2771	"Чернышевский Н. Г."	"установлено"	"нет"	"нет"	"Сенсации и замечания г-жи Курдюковой <И. П. Мятлева> за границей для д’Этранже. Три части. Издание второе. Тамбов. 1856"	"нет"	"нет"	"нет"	"проза"	1856	"11.09.1856"	"31.08.1856"	"Бекетов В. Н."	"LIX"	"9"	"Библиография"	"Библиография"	39	40	2	"нет"	""
3281	2772	"Чернышевский Н. Г."	"установлено"	"нет"	"нет"	"О выборе стихотворного размера. Начала логического образования слов. М. 1856"	"нет"	"нет"	"нет"	"проза"	1856	"11.09.1856"	"31.08.1856"	"Бекетов В. Н."	"LIX"	"9"	"Библиография"	"Библиография"	40	40	1	"нет"	""
3282	2773	"Сервиль Л."	"установлено"	"нет"	"нет"	"Бальзак"	"нет"	"Чернышевский Н. Г."	"нет"	"проза"	1856	"11.09.1856"	"31.08.1856"	"Бекетов В. Н."	"LIX"	"9"	"Смесь"	"не указано"	1	24	24	"нет"	"Предисловие и послесловие Н. Г. Чернышевского."
3283	2774	"Маколей Т. Б."	"установлено"	"нет"	"Т. Б. Маколея"	"Английские комики времен Реставрации. Уичерли и Конгрив. Статья Т. Б. Маколея"	"нет"	"нет"	"нет"	"проза"	1856	"11.09.1856"	"31.08.1856"	"Бекетов В. Н."	"LIX"	"9"	"Смесь"	"не указано"	25	56	32	"нет"	""
3284	4667	"Осокин С. М."	"установлено"	"С. Осокин"	"С. М. Осокина"	"Народный быт в северо-восточной России. Записки о Малмыжском уезде (в Вятской губернии)"	"1"	"нет"	"нет"	"проза"	1856	"11.09.1856"	"31.08.1856"	"Бекетов В. Н."	"LIX"	"9"	"Смесь"	"не указано"	57	83	27	"нет"	""
3285	2775	"Панаев И. И."	"установлено"	"нет"	"Нового поэта"	"Петербургская жизнь. Заметки Нового поэта"	"нет"	"нет"	"нет"	"проза"	1856	"11.09.1856"	"31.08.1856"	"Бекетов В. Н."	"LIX"	"9"	"Смесь"	"не указано"	84	106	23	"нет"	""
3286	2776	"Лонгинов М. Н."	"установлено"	"Москвич"	"Москвича"	"Письмо из Москвы. К редактору «Современника»"	"нет"	"нет"	"нет"	"проза"	1856	"11.09.1856"	"31.08.1856"	"Бекетов В. Н."	"LIX"	"9"	"Смесь"	"не указано"	107	110	4	"нет"	""
3287	2777	"Чернышевский Н. Г."	"установлено"	"нет"	"нет"	"Заметки о журналах. Август 1856"	"нет"	"нет"	"нет"	"проза"	1856	"11.09.1856"	"31.08.1856"	"Бекетов В. Н."	"LIX"	"9"	"Смесь"	"не указано"	111	133	23	"нет"	""
3288	2778	"Чернышевский Н. Г."	"под вопросом"	"нет"	"нет"	"Заграничные известия"	"нет"	"нет"	"нет"	"проза"	1856	"11.09.1856"	"31.08.1856"	"Бекетов В. Н."	"LIX"	"9"	"Смесь"	"не указано"	133	156	24	"нет"	""
3289	2779	"Панаев И. И., Панаева А. Я."	"установлено"	"нет"	"нет"	"Моды"	"нет"	"нет"	"нет"	"проза"	1856	"11.09.1856"	"31.08.1856"	"Бекетов В. Н."	"LIX"	"9"	"Смесь"	"не указано"	157	158	2	"нет"	""
3290	2780	"Тургенев И. С."	"установлено"	"Ив. Тургенев"	"Ив. С. Тургенева"	"Фауст. Рассказ в девяти письмах"	"нет"	"нет"	"нет"	"проза"	1856	"09.10.1856"	"30.09.1856"	"Бекетов В. Н."	"LIX"	"10"	"Словесность"	"не указано"	91	130	40	"нет"	""
3291	2781	"Гете И.-В."	"установлено"	"нет"	"Гете"	"Фауст. Трагедия"	"нет"	"Струговщиков А. Н."	"нет"	"проза"	1856	"09.10.1856"	"30.09.1856"	"Бекетов В. Н."	"LIX"	"10"	"Словесность"	"не указано"	131	280	150	"нет"	""
3292	2782	"Некрасов Н. А"	"установлено"	"Н. Некрасов"	"Н. А. Некрасова"	"Т<ургене>ву («Прощай! Завидую тебе...»)"	"нет"	"нет"	"нет"	"стихи"	1856	"09.10.1856"	"30.09.1856"	"Бекетов В. Н."	"LIX"	"10"	"Словесность"	"не указано"	281	281	1	"нет"	""
3293	2783	"Фет А. А."	"установлено"	"А. Фет"	"А. А. Фета"	"Последнее слово («Я громом их в отчаянье застигну...»)"	"нет"	"нет"	"нет"	"стихи"	1856	"09.10.1856"	"30.09.1856"	"Бекетов В. Н."	"LIX"	"10"	"Словесность"	"не указано"	282	282	1	"нет"	""
3294	4650	"Чернышевский Н. Г."	"установлено"	"Н. Чернышевский"	"Н. Г. Чернышевского"	"Лессинг. Его время, его жизнь и деятельность"	"1"	"нет"	"нет"	"проза"	1856	"09.10.1856"	"30.09.1856"	"Бекетов В. Н."	"LIX"	"10"	"Науки и художества"	"не указано"	67	112	46	"нет"	""
3295	2784	"Костомаров Н. И."	"установлено"	"Н. Костомаров"	"Н. Костомарова"	"О мифическом значении Горя-Злочастия"	"нет"	"нет"	"нет"	"проза"	1856	"09.10.1856"	"30.09.1856"	"Бекетов В. Н."	"LIX"	"10"	"Науки и художества"	"не указано"	113	124	12	"нет"	""
3296	2785	"Савинич М. И."	"установлено"	"Капитан-лейтенант Савинич"	"Капитана-лейтенанта Савинича"	"О торговом мореплавании на Черном море"	"нет"	"нет"	"нет"	"проза"	1856	"09.10.1856"	"30.09.1856"	"Бекетов В. Н."	"LIX"	"10"	"Науки и художества"	"не указано"	125	134	10	"нет"	""
3297	4704	"Чернышевский Н. Г."	"установлено"	"нет"	"нет"	"Очерки гоголевского периода русской литературы. (Сочинения Николая Васильевича Гоголя. Шесть томов. 1856. Похождения Чичикова, или Мертвые души. Поэма Николая Васильевича Гоголя. Том 1. Издание третье. М. 1855. Сочинения Николая Васильевича Гоголя, найденные после его смерти. Похождения Чичикова, или Мертвые души. Том второй. (Пять глав). М. 1855)"	"7"	"нет"	"нет"	"проза"	1856	"09.10.1856"	"30.09.1856"	"Бекетов В. Н."	"LIX"	"10"	"Критика"	"Критика"	33	80	48	"нет"	""
3298	2786	"Пыпин А. Н."	"установлено"	"нет"	"нет"	"Записки Сибирского отдела Императорского Русского географического общества. Книжка 1. СПб. 1856"	"нет"	"нет"	"нет"	"проза"	1856	"09.10.1856"	"30.09.1856"	"Бекетов В. Н."	"LIX"	"10"	"Библиография"	"Библиография"	41	47	7	"нет"	""
3299	2787	"Чернышевский Н. Г."	"установлено"	"нет"	"нет"	"Римские женщины. Исторические рассказы по Тациту. П. Кудрявцева. С рисунком. М. 1856"	"нет"	"нет"	"нет"	"проза"	1856	"09.10.1856"	"30.09.1856"	"Бекетов В. Н."	"LIX"	"10"	"Библиография"	"Библиография"	47	48	2	"нет"	""
3300	2788	"Пыпин А. Н."	"установлено"	"нет"	"нет"	"Кер-Оглу, восточный поэт-наездник. Полное собрание его импровизаций с присовокуплением его биографии. Перевод с английского С С. Пенн(а). Тифлис. 1856"	"нет"	"нет"	"нет"	"проза"	1856	"09.10.1856"	"30.09.1856"	"Бекетов В. Н."	"LIX"	"10"	"Библиография"	"Библиография"	48	54	7	"нет"	""
3301	2789	"Чернышевский Н. Г."	"установлено"	"нет"	"нет"	"Собрание стихотворений В. Бенедиктова. Три тома. СПб. 1856"	"нет"	"нет"	"нет"	"проза"	1856	"09.10.1856"	"30.09.1856"	"Бекетов В. Н."	"LIX"	"10"	"Библиография"	"Библиография"	54	72	19	"нет"	""
3302	2790	"Чернышевский Н. Г."	"установлено"	"нет"	"нет"	"Стихотворения графини Ростопчиной. Том второй. СПб. 1856"	"нет"	"нет"	"нет"	"проза"	1856	"09.10.1856"	"30.09.1856"	"Бекетов В. Н."	"LIX"	"10"	"Библиография"	"Библиография"	72	77	6	"нет"	""
3303	2791	"Пыпин А. Н."	"установлено"	"нет"	"нет"	"Грамматика старославянского языка. Петра Перевлесского. Второе исправленное издание. СПб. 1856"	"нет"	"нет"	"нет"	"проза"	1856	"09.10.1856"	"30.09.1856"	"Бекетов В. Н."	"LIX"	"10"	"Библиография"	"Библиография"	77	78	2	"нет"	""
3304	2792	"Пыпин А. Н."	"установлено"	"нет"	"нет"	"Историко-критические изыскания Юрия Венелина. Издание Ивана Мольнара. М. 1856"	"нет"	"нет"	"нет"	"проза"	1856	"09.10.1856"	"30.09.1856"	"Бекетов В. Н."	"LIX"	"10"	"Библиография"	"Библиография"	78	79	2	"нет"	""
3305	2793	"Пыпин А. Н."	"установлено"	"нет"	"нет"	"Путевые заметки. Давида Мацкевича. Киев. 1856"	"нет"	"нет"	"нет"	"проза"	1856	"09.10.1856"	"30.09.1856"	"Бекетов В. Н."	"LIX"	"10"	"Библиография"	"Библиография"	79	79	1	"нет"	""
3306	2794	"Пыпин А. Н."	"установлено"	"нет"	"нет"	"Четвертое прибавление к росписи русским книгам для чтения из библиотеки Петра Крашенинникова. Продолжение к прежде изданной росписи А. Ф. Смирдина. СПб. 1856"	"нет"	"нет"	"нет"	"проза"	1856	"09.10.1856"	"30.09.1856"	"Бекетов В. Н."	"LIX"	"10"	"Библиография"	"Библиография"	79	80	2	"нет"	""
3307	2795	"Пави Т."	"установлено"	"нет"	"Т. Пави"	"Измаил эль Рашиди. Нильская повесть Т. Пави"	"нет"	"Николаев А. Н."	"нет"	"проза"	1856	"09.10.1856"	"30.09.1856"	"Бекетов В. Н."	"LIX"	"10"	"Смесь"	"не указано"	161	190	30	"нет"	""
3308	4759	"Маколей Т. Б."	"установлено"	"нет"	"нет"	"Рассказы из истории Англии при королях Иакове II и Вильгельме III и королеве Анне. Из Маколея"	"1"	"Чернышевский Н. Г."	"нет"	"проза"	1856	"09.10.1856"	"30.09.1856"	"Бекетов В. Н."	"LIX"	"10"	"Смесь"	"не указано"	191	215	25	"нет"	"Редакция Н. Г. Чернышевского."
3309	2796	"Панаев И. И."	"установлено"	"нет"	"Нового поэта"	"Петербургская жизнь. Заметки Нового поэта"	"нет"	"нет"	"нет"	"проза"	1856	"09.10.1856"	"30.09.1856"	"Бекетов В. Н."	"LIX"	"10"	"Смесь"	"не указано"	216	249	34	"нет"	""
3310	2797	"Лонгинов М. Н."	"установлено"	"Москвич"	"Москвича"	"Письмо из Москвы. К редактору «Современника»"	"нет"	"нет"	"нет"	"проза"	1856	"09.10.1856"	"30.09.1856"	"Бекетов В. Н."	"LIX"	"10"	"Смесь"	"не указано"	249	253	5	"нет"	""
3311	2798	"Чернышевский Н. Г., Пыпин А. Н."	"установлено"	"нет"	"нет"	"Заметки о журналах. Сентябрь 1856"	"нет"	"нет"	"нет"	"проза"	1856	"09.10.1856"	"30.09.1856"	"Бекетов В. Н."	"LIX"	"10"	"Смесь"	"не указано"	254	272	19	"нет"	""
3312	2799	"Панаев И. И., Панаева А. Я."	"установлено"	"нет"	"нет"	"Моды"	"нет"	"нет"	"нет"	"проза"	1856	"09.10.1856"	"30.09.1856"	"Бекетов В. Н."	"LIX"	"10"	"Смесь"	"не указано"	273	274	2	"нет"	""
3313	2800	"Чернышевский Н. Г., Некрасов Н. А."	"установлено"	"нет"	"нет"	"Об издании «Современника» в 1857 году"	"нет"	"нет"	"нет"	"проза"	1856	"07.11.1856"	"30.10.1856, 31.10.1856"	"Бекетов В. Н."	"LX"	"11"	"От редакции"	"не указано"	1	6	6	"нет"	""
3314	2801	"Толстой А. К."	"установлено"	"нет"	"Графа А. К. Толстого"	"Крымские очерки графа А. К. Толстого («Где светлый ключ, спускаясь вниз...». — «Солнце жжет, перед грозою…». — Чуфут-Кале. — «Как чудесно хороши вы...». — «Клонит к лени полдень жгучий...». — «Вы все любуетесь на скалы...». — «Всесильной волею аллаха...». — «Приветствую тебя, опустошенный дом...»)"	"нет"	"нет"	"нет"	"стихи"	1856	"07.11.1856"	"30.10.1856, 31.10.1856"	"Бекетов В. Н."	"LX"	"11"	"Словесность"	"не указано"	5	10	6	"нет"	""
3315	2802	"Селиванов И. В."	"установлено"	"И. С—в"	"нет"	"Провинциальные воспоминания. Из записок чудака"	"нет"	"нет"	"нет"	"проза"	1856	"07.11.1856"	"30.10.1856, 31.10.1856"	"Бекетов В. Н."	"LX"	"11"	"Словесность"	"не указано"	11	67	57	"нет"	""
3316	2803	"Фет А. А."	"установлено"	"А. Фет"	"А. А. Фета"	"Ответ И. С. Тургеневу («Поэт! ты хочешь знать, за что такой любовью...»)"	"нет"	"нет"	"нет"	"стихи"	1856	"07.11.1856"	"30.10.1856, 31.10.1856"	"Бекетов В. Н."	"LX"	"11"	"Словесность"	"не указано"	68	68	1	"нет"	""
3317	2804	"Павлов В. М."	"установлено"	"Вл. Павлов"	"В. М. Павлова"	"«Нам говорят, что мир земной...»"	"нет"	"нет"	"нет"	"стихи"	1856	"07.11.1856"	"30.10.1856, 31.10.1856"	"Бекетов В. Н."	"LX"	"11"	"Словесность"	"не указано"	69	70	2	"нет"	""
3318	4628	"Фет А. А."	"установлено"	"А. Фет"	"А. А. Фета"	"Из-за границы. Путевые впечатления"	"1"	"нет"	"нет"	"проза"	1856	"07.11.1856"	"30.10.1856, 31.10.1856"	"Бекетов В. Н."	"LX"	"11"	"Словесность"	"не указано"	71	117	47	"нет"	""
3319	2805	"Струговщиков А. Н."	"установлено"	"А. Струговщиков"	"А. Н. Струговщикова"	"«Волнуется море...»"	"нет"	"нет"	"нет"	"стихи"	1856	"07.11.1856"	"30.10.1856, 31.10.1856"	"Бекетов В. Н."	"LX"	"11"	"Словесность"	"не указано"	118	118	1	"нет"	""
3320	2806	"Греков Н. П."	"установлено"	"Н. Греков"	"Н. П. Грекова"	"Из корана («Всесильный рек — и светом дня...»)"	"нет"	"нет"	"нет"	"стихи"	1856	"07.11.1856"	"30.10.1856, 31.10.1856"	"Бекетов В. Н."	"LX"	"11"	"Словесность"	"не указано"	119	120	2	"нет"	""
3321	4640	"Даль В. И."	"установлено"	"В. Даль"	"В. И. Даля"	"Картины из русского быта"	"2"	"нет"	"нет"	"проза"	1856	"07.11.1856"	"30.10.1856, 31.10.1856"	"Бекетов В. Н."	"LX"	"11"	"Словесность"	"не указано"	121	152	32	"нет"	""
3322	2807	"Фет А. А."	"установлено"	"А. Фет"	"нет"	"Вечер у взморья («Засверкал огонь зарницы...»)"	"нет"	"нет"	"нет"	"стихи"	1856	"07.11.1856"	"30.10.1856, 31.10.1856"	"Бекетов В. Н."	"LX"	"11"	"Словесность"	"не указано"	153	153	1	"нет"	""
3323	2808	"Павлов В. М."	"установлено"	"Вл. Павлов"	"В. М. Павлова"	"К Мефистофелю («Довольно ты людей пугал...»)"	"нет"	"нет"	"нет"	"стихи"	1856	"07.11.1856"	"30.10.1856, 31.10.1856"	"Бекетов В. Н."	"LX"	"11"	"Словесность"	"не указано"	154	154	1	"нет"	""
3324	2809	"Греков Н. П."	"установлено"	"Н. Греков"	"Н. П. Грекова"	"Зоя («Я знаю ту стезю, застенчивая Зоя...»)"	"нет"	"нет"	"нет"	"стихи"	1856	"07.11.1856"	"30.10.1856, 31.10.1856"	"Бекетов В. Н."	"LX"	"11"	"Словесность"	"не указано"	154	154	1	"нет"	""
3325	4626	"Берг Н. В."	"установлено"	"Н. Берг"	"Н. В. Берга"	"Из крымских заметок"	"2"	"нет"	"нет"	"проза"	1856	"07.11.1856"	"30.10.1856, 31.10.1856"	"Бекетов В. Н."	"LX"	"11"	"Словесность"	"не указано"	155	167	13	"нет"	""
3326	2810	"Шиллер Ф."	"установлено"	"Н. Гербель"	"Н. В. Гербеля"	"Орлеанской деве. Из Шиллера («Стараясь исказить твой образ благородный...»)"	"нет"	"Гербель Н. В."	"нет"	"стихи"	1856	"07.11.1856"	"30.10.1856, 31.10.1856"	"Бекетов В. Н."	"LX"	"11"	"Словесность"	"не указано"	168	168	1	"нет"	""
3327	2811	"Северцов А. А."	"установлено"	"А. Северцов"	"А. А. Северцова"	"Сельская община в России, г. Чичерина. («Русский вестник». Кн. III, IV, XII и XIII)"	"нет"	"нет"	"нет"	"проза"	1856	"07.11.1856"	"30.10.1856, 31.10.1856"	"Бекетов В. Н."	"LX"	"11"	"Науки и художества"	"не указано"	1	26	26	"нет"	""
3328	4650	"Чернышевский Н. Г."	"установлено"	"Н. Чернышевский"	"Н. Г. Чернышевского"	"Лессинг. Его время, его жизнь и деятельность"	"2"	"нет"	"нет"	"проза"	1856	"07.11.1856"	"30.10.1856, 31.10.1856"	"Бекетов В. Н."	"LX"	"11"	"Науки и художества"	"не указано"	27	60	34	"нет"	""
3329	4704	"Чернышевский Н. Г."	"установлено"	"нет"	"нет"	"Очерки гоголевского периода русской литературы. (Сочинения Николая Васильевича Гоголя. Шесть томов. 1856. Похождения Чичикова, или Мертвые души. Поэма Николая Васильевича Гоголя. Том 1. Издание третье. М. 1855. Сочинения Николая Васильевича Гоголя, найденные после его смерти. Похождения Чичикова, или Мертвые души. Том второй. (Пять глав). М. 1855)"	"8"	"нет"	"нет"	"проза"	1856	"07.11.1856"	"30.10.1856, 31.10.1856"	"Бекетов В. Н."	"LX"	"11"	"Критика"	"Критика"	1	24	24	"нет"	""
3330	2812	"Чернышевский Н. Г."	"установлено"	"нет"	"нет"	"Стихотворения Н. Некрасова. М. 1856"	"нет"	"нет"	"нет"	"проза"	1856	"07.11.1856"	"30.10.1856, 31.10.1856"	"Бекетов В. Н."	"LX"	"11"	"Библиография"	"Библиография"	1	12	12	"нет"	""
3331	2813	"Пыпин А. Н."	"установлено"	"нет"	"нет"	"Землеведение Азии, Карла Риттера. Часть I. Общее введение и восточная окраина Азии. Перевел и дополнил действ. член Императорского Русского географического общества П. Семенов. Издание Импер. Рус. геогр. общ. на иждивении члена-соревнователя П. В. Голубкова. СПб. 1856"	"нет"	"нет"	"нет"	"проза"	1856	"07.11.1856"	"30.10.1856, 31.10.1856"	"Бекетов В. Н."	"LX"	"11"	"Библиография"	"Библиография"	13	22	10	"нет"	""
3332	2814	"Пыпин А. Н."	"установлено"	"нет"	"нет"	"Очерк трехнедельного похода Наполеона против Пруссии в 1806 году. Сочинение флигель-адъютанта графа Николая Орлова. С пятью планами. СПб. 1856"	"нет"	"нет"	"нет"	"проза"	1856	"07.11.1856"	"30.10.1856, 31.10.1856"	"Бекетов В. Н."	"LX"	"11"	"Библиография"	"Библиография"	22	24	3	"нет"	""
3333	2815	"Пыпин А. Н."	"установлено"	"нет"	"нет"	"Для легкого чтения. Повести, рассказы, комедии, путешествия и стихотворения современных русских писателей. Т. III. СПб. 1856"	"нет"	"нет"	"нет"	"проза"	1856	"07.11.1856"	"30.10.1856, 31.10.1856"	"Бекетов В. Н."	"LX"	"11"	"Библиография"	"Библиография"	25	25	1	"нет"	""
3334	2816	"Пыпин А. Н."	"установлено"	"нет"	"нет"	"Очерки Финляндии, путевые записки А. Милюкова. 1851–1852 г. СПб. 1856. (Из «Морского сборника» 1856 г.)"	"нет"	"нет"	"нет"	"проза"	1856	"07.11.1856"	"30.10.1856, 31.10.1856"	"Бекетов В. Н."	"LX"	"11"	"Библиография"	"Библиография"	25	27	3	"нет"	""
3335	2817	"Пыпин А. Н."	"установлено"	"нет"	"нет"	"Булавка, комедия в одном действии. Соч. В. Яковлевского"	"нет"	"нет"	"нет"	"проза"	1856	"07.11.1856"	"30.10.1856, 31.10.1856"	"Бекетов В. Н."	"LX"	"11"	"Библиография"	"Библиография"	27	27	1	"нет"	""
3336	2818	"Чернышевский Н. Г."	"под вопросом"	"нет"	"нет"	"Детство и отрочество. Сочинение графа Л. Н. Толстого. СПб. 1856. Военные рассказы графа Л. Н. Толстого. СПб. 1856"	"нет"	"нет"	"нет"	"проза"	1856	"07.11.1856"	"30.10.1856, 31.10.1856"	"Бекетов В. Н."	"LX"	"11"	"Библиография"	"Библиография"	28	28	1	"нет"	""
3337	4667	"Осокин С. М."	"установлено"	"С. Осокин"	"С. М. Осокина"	"Народный быт в северо-восточной России. Записки о Малмыжском уезде (в Вятской губернии)"	"2"	"нет"	"нет"	"проза"	1856	"07.11.1856"	"30.10.1856, 31.10.1856"	"Бекетов В. Н."	"LX"	"11"	"Смесь"	"не указано"	1	40	40	"нет"	""
3338	4571	"Лонгинов М. Н."	"установлено"	"Мих. Лонгинов"	"нет"	"Библиографические записки"	"5"	"нет"	"нет"	"проза"	1856	"07.11.1856"	"30.10.1856, 31.10.1856"	"Бекетов В. Н."	"LX"	"11"	"Смесь"	"не указано"	40	52	13	"нет"	""
3339	4759	"Маколей Т. Б."	"установлено"	"нет"	"Маколея"	"Рассказы из истории Англии при королях Иакове II и Вильгельме III и королеве Анне. Из Маколея"	"2"	"Веселовский М. П."	"нет"	"проза"	1856	"07.11.1856"	"30.10.1856, 31.10.1856"	"Бекетов В. Н."	"LX"	"11"	"Смесь"	"не указано"	53	99	47	"нет"	"Редакция Н. Г. Чернышевского."
3340	2819	"Панаев И. И., Зеленой А. С."	"установлено"	"нет"	"Нового поэта"	"Петербургская жизнь. Заметки Нового поэта"	"нет"	"нет"	"нет"	"проза"	1856	"07.11.1856"	"30.10.1856, 31.10.1856"	"Бекетов В. Н."	"LX"	"11"	"Смесь"	"не указано"	100	123	24	"нет"	"В тексте «Заметок» (с. 110–115) за подписью «А. 3.» напечатан фельетон «Старые девушки (Тема для романистов, поэтов и мыслителей)»."
3341	2820	"Сераковский С. И."	"установлено"	"нет"	"нет"	"Заграничные известия"	"нет"	"нет"	"нет"	"проза"	1856	"07.11.1856"	"30.10.1856, 31.10.1856"	"Бекетов В. Н."	"LX"	"11"	"Смесь"	"не указано"	123	151	29	"нет"	""
3342	2821	"Чернышевский Н. Г., Добролюбов Н. А."	"установлено"	"нет"	"нет"	"Заметки о журналах. Октябрь 1856"	"нет"	"нет"	"нет"	"проза"	1856	"07.11.1856"	"30.10.1856, 31.10.1856"	"Бекетов В. Н."	"LX"	"11"	"Смесь"	"не указано"	152	176	25	"нет"	""
3343	2822	"Панаев И. И., Панаева А. Я."	"установлено"	"нет"	"нет"	"Моды"	"нет"	"нет"	"нет"	"проза"	1856	"07.11.1856"	"30.10.1856, 31.10.1856"	"Бекетов В. Н."	"LX"	"11"	"Смесь"	"не указано"	177	178	2	"нет"	""
3344	2823	"Шекспир В."	"установлено"	"нет"	"Шекспира, А. В. Дружинина"	"Король Лир. Трагедия в пяти действиях. Сочинение Шекспира"	"нет"	"Дружинин А. В."	"нет"	"проза"	1856	"04.12.1856"	"30.11.1856"	"Бекетов В. Н., Лажечников И. И."	"LX"	"12"	"Словесность"	"не указано"	169	342	174	"нет"	""
3345	4650	"Чернышевский Н. Г."	"установлено"	"Н. Чернышевский"	"Н. Г. Чернышевского"	"Лессинг. Его время, его жизнь и деятельность"	"3"	"нет"	"нет"	"проза"	1856	"04.12.1856"	"30.11.1856"	"Бекетов В. Н., Лажечников И. И."	"LX"	"12"	"Науки и художества"	"не указано"	61	92	32	"нет"	""
3346	2824	"Стасов В. В."	"установлено"	"В. Стасов"	"В. Стасова"	"О голландской живописи. По поводу статьи г. М. Д. М. в «Русской беседе» (книжка I)"	"нет"	"нет"	"нет"	"проза"	1856	"04.12.1856"	"30.11.1856"	"Бекетов В. Н., Лажечников И. И."	"LX"	"12"	"Науки и художества"	"не указано"	93	100	8	"нет"	""
3347	4704	"Чернышевский Н. Г."	"установлено"	"нет"	"нет"	"Очерки гоголевского периода русской литературы. (Сочинения Николая Васильевича Гоголя. Шесть томов. 1856. Похождения Чичикова, или Мертвые души. Поэма Николая Васильевича Гоголя. Том 1. Издание третье. М. 1855. Сочинения Николая Васильевича Гоголя, найденные после его смерти. Похождения Чичикова, или Мертвые души. Том второй. (Пять глав). М. 1855)"	"9"	"нет"	"нет"	"проза"	1856	"04.12.1856"	"30.11.1856"	"Бекетов В. Н., Лажечников И. И."	"LX"	"12"	"Критика"	"Критика"	25	52	28	"нет"	""
